drug,drug_id,gene,diplotype,ref_guide,implications,recommendation,classification
atazanavir,PA10251,UGT1A1,*1/*80+*28,FDA Label Annotation,Not Found,Not Found,Not Found
belinostat,PA165971474,UGT1A1,*1/*80+*28,FDA Label Annotation,,,
dolutegravir,PA166114961,UGT1A1,*1/*80+*28,FDA Label Annotation,Not Found,Not Found,Not Found
irinotecan,PA450085,UGT1A1,*1/*80+*28,FDA Label Annotation,Not Found,"The CAMPTOSAR [irinotecan] label states &quot;Individuals who are heterozygous for either the UGT1A1*28 or *6 alleles (*1/*6, *1/*28) are UGT1A1 intermediate metabolizers and may also have an increased risk of severe or life-threatening neutropenia. Published studies have shown that individuals with UGT1A1*28 and *6 alleles may be at an increased risk of severe diarrhea.&quot;  &quot;Closely monitor patients with UGT1A1*28 or *6 alleles for neutropenia during and after treatment with CAMPTOSAR.&quot; See label for more information.",Unspecified
nilotinib,PA165958345,UGT1A1,*1/*80+*28,FDA Label Annotation,Not Found,Not Found,Not Found
pazopanib,PA165291492,UGT1A1,*1/*80+*28,FDA Label Annotation,Not Found,Not Found,Not Found
raltegravir,PA164888966,UGT1A1,*1/*80+*28,FDA Label Annotation,Not Found,Not Found,Not Found
sacituzumab govitecan,PA166225061,UGT1A1,*1/*80+*28,FDA Label Annotation,,,
warfarin,PA451906,VKORC1,rs9923231 variant (T)/rs9923231 variant (T),FDA Label Annotation,,,
carbamazepine,PA448785,HLA-A,Unknown/Unknown,FDA Label Annotation,,,
,,NAT2,,FDA Label Annotation,Not Found,Not Found,Not Found
acetaminophen ,PA166246281,CYP2D6,Unknown/Unknown,FDA Label Annotation,Not Found,Not Found,Not Found
 caffeine ,PA166246281,CYP2D6,Unknown/Unknown,FDA Label Annotation,Not Found,Not Found,Not Found
 dihydrocodeine,PA166246281,CYP2D6,Unknown/Unknown,FDA Label Annotation,Not Found,Not Found,Not Found
amitriptyline,PA448385,CYP2D6,Unknown/Unknown,FDA Label Annotation,Not Found,Not Found,Not Found
amoxapine,PA448405,CYP2D6,Unknown/Unknown,FDA Label Annotation,Not Found,Not Found,Not Found
amphetamine,PA448408,CYP2D6,Unknown/Unknown,FDA Label Annotation,Not Found,Not Found,Not Found
aripiprazole,PA10026,CYP2D6,Unknown/Unknown,FDA Label Annotation,,,
aripiprazole lauroxil,PA166161216,CYP2D6,Unknown/Unknown,FDA Label Annotation,,,
atomoxetine,PA134688071,CYP2D6,Unknown/Unknown,FDA Label Annotation,,,
brexpiprazole,PA166160053,CYP2D6,Unknown/Unknown,FDA Label Annotation,,,
