drug,drug_id,gene,diplotype,ref_guide,implications,recommendation,classification
atazanavir,PA10251,UGT1A1,*1/*80+*28,FDA PGx Association,Not Found,Not Found,Not Found
belinostat,PA165971474,UGT1A1,*1/*80+*28,FDA PGx Association,,,
dolutegravir,PA166114961,UGT1A1,*1/*80+*28,FDA PGx Association,,,
irinotecan,PA450085,UGT1A1,*1/*80+*28,FDA PGx Association,Not Found,"&quot;Results in higher systemic active metabolite concentrations and higher adverse reaction risk (severe or life-threatening neutropenia, severe diarrhea). Closely monitor for neutropenia during and after treatment. Consider reducing the starting dosage by at least one level in poor metabolizers and modify the dosage based on individual patient tolerance. Refer to FDA labeling for specific dosing recommendations.&quot;",Unspecified
nilotinib,PA165958345,UGT1A1,*1/*80+*28,FDA PGx Association,,,
pazopanib,PA165291492,UGT1A1,*1/*80+*28,FDA PGx Association,,,
raltegravir,PA164888966,UGT1A1,*1/*80+*28,FDA PGx Association,,,
sacituzumab govitecan,PA166225061,UGT1A1,*1/*80+*28,FDA PGx Association,,,
warfarin,PA451906,VKORC1,rs9923231 variant (T)/rs9923231 variant (T),FDA PGx Association,,,
carbamazepine,PA448785,HLA-A,Unknown/Unknown,FDA PGx Association,,,
,,NAT2,,FDA PGx Association,Not Found,Not Found,Not Found
acetaminophen ,PA166246281,CYP2D6,Unknown/Unknown,FDA PGx Association,Not Found,Not Found,Not Found
 caffeine ,PA166246281,CYP2D6,Unknown/Unknown,FDA PGx Association,Not Found,Not Found,Not Found
 dihydrocodeine,PA166246281,CYP2D6,Unknown/Unknown,FDA PGx Association,Not Found,Not Found,Not Found
amitriptyline,PA448385,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
amoxapine,PA448405,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
amphetamine,PA448408,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
aripiprazole,PA10026,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
aripiprazole lauroxil,PA166161216,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
atomoxetine,PA134688071,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
brexpiprazole,PA166160053,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
carvedilol,PA448817,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
cevimeline,PA164754754,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
clomipramine,PA449048,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
clozapine,PA449061,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
codeine,PA449088,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
darifenacin,PA164774901,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
desipramine,PA449233,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
deutetrabenazine,PA166169881,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
dextromethorphan ,PA166175998,CYP2D6,Unknown/Unknown,FDA PGx Association,Not Found,Not Found,Not Found
 quinidine,PA166175998,CYP2D6,Unknown/Unknown,FDA PGx Association,Not Found,Not Found,Not Found
dextromethorphan hydrobromide ,PA166278341,CYP2D6,Unknown/Unknown,FDA PGx Association,Not Found,Not Found,Not Found
 bupropion hydrochloride,PA166278341,CYP2D6,Unknown/Unknown,FDA PGx Association,Not Found,Not Found,Not Found
donepezil,PA449394,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
doxepin,PA449409,CYP2D6,Unknown/Unknown,FDA PGx Association,Not Found,Not Found,Not Found
eliglustat,PA166123486,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
fesoterodine,PA165958376,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
fluoxetine,PA449673,CYP2D6,Unknown/Unknown,FDA PGx Association,Not Found,Not Found,Not Found
fluvoxamine,PA449690,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
galantamine,PA449726,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
gefitinib,PA131301952,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
hydrocodone,PA449900,CYP2D6,Unknown/Unknown,FDA PGx Association,Not Found,Not Found,Not Found
iloperidone,PA161199368,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
imipramine,PA449969,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
lofexidine,PA164744510,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
meclizine,PA450338,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
metoclopramide,PA450475,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
metoprolol,PA450480,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
mirabegron,PA166177513,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
nebivolol,PA151958426,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
nortriptyline,PA450657,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
oliceridine,PA166223601,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
ondansetron,PA450705,CYP2D6,Unknown/Unknown,FDA PGx Association,Not Found,Not Found,Not Found
paroxetine,PA450801,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
perphenazine,PA450882,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
pimozide,PA450965,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
pitolisant,PA166185163,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
propafenone,PA451131,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
propranolol,PA451145,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
protriptyline,PA451168,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
risperidone,PA451257,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
tamoxifen,PA451581,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
tamsulosin,PA451583,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
tetrabenazine,PA140222719,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
thioridazine,PA451666,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
tolterodine,PA164746757,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
tramadol,PA451735,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
trimipramine,PA451791,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
tropisetron,PA161925594,CYP2D6,Unknown/Unknown,FDA PGx Association,Not Found,Not Found,Not Found
valbenazine,PA166170051,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
venlafaxine,PA451866,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
viloxazine,PA166251581,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
vortioxetine,PA166122595,CYP2D6,Unknown/Unknown,FDA PGx Association,,,
desflurane,PA164749136,RYR1,Reference/Reference,FDA PGx Association,Not Found,Not Found,Not Found
enflurane,PA449461,RYR1,Reference/Reference,FDA PGx Association,Not Found,Not Found,Not Found
halothane,PA449845,RYR1,Reference/Reference,FDA PGx Association,Not Found,Not Found,Not Found
isoflurane,PA450106,RYR1,Reference/Reference,FDA PGx Association,Not Found,Not Found,Not Found
methoxyflurane,PA450434,RYR1,Reference/Reference,FDA PGx Association,Not Found,Not Found,Not Found
sevoflurane,PA451341,RYR1,Reference/Reference,FDA PGx Association,Not Found,Not Found,Not Found
succinylcholine,PA451522,RYR1,Reference/Reference,FDA PGx Association,Not Found,Not Found,Not Found
abacavir,PA448004,HLA-B,Unknown/Unknown,FDA PGx Association,,,
allopurinol,PA448320,HLA-B,Unknown/Unknown,FDA PGx Association,,,
carbamazepine,PA448785,HLA-B,Unknown/Unknown,FDA PGx Association,,,
fosphenytoin,PA164746820,HLA-B,Unknown/Unknown,FDA PGx Association,,,
oxcarbazepine,PA450732,HLA-B,Unknown/Unknown,FDA PGx Association,,,
pazopanib,PA165291492,HLA-B,Unknown/Unknown,FDA PGx Association,,,
phenytoin,PA450947,HLA-B,Unknown/Unknown,FDA PGx Association,,,
rosuvastatin,PA134308647,ABCG2,rs2231142 reference (G)/rs2231142 variant (T),FDA PGx Association,,,
