gene,number
Cry40Ba,1
Vip3Ad2,1
Cry7Ea,1
Cry43Aa,1
Cry43Aa,1
Cry19Bb,1
Cry40Ca,1
Cry8Bb,1
Cry7Da,1
Cry7Ab,1
Cry8Ca,1
Cry30Ca,1
Cry50Aa,1
Cry8Ab,1
Cry5Ba,1
Cry8Ca,1
Cry1Ia3,1
Cry2Ac,1
Cry2Aa1,1
Cry2Aa,1
Cry1Bd,1
Cry1Ac2,1
Cry5Ba,1
Cry56Aa,1
Cry39-ORF2,1
Vip3Ag4,1
Cry1Ca,1
Cry31Ac,1
Cry2Aa,1
Cry31Aa,1
Cry31Aa,1
Cry2Ae,1
Cry54Aa,1
Cry1Ca,1
Cry1Fb,1
Cry31Ac,1
Cry35Aa,1
Cyt,1
Cry32Cb,1
Cry21Ha,1
Cry32Fa,1
Cry32Ja,1
Mpp74Aa1,1
Cry32Ia,1
Cry32Ka,1
Cry32Oa,1
Cry32Ea,1
Mpp3Aa6,1
Cry8Ma,1
Vpa2Af2,1
Mpp4Aa1,1
Cry8Ia,1
Cry8Sa,1
Cry8Fa,1
Cry1Ka,1
Xpp22Bb1,1
Xpp22Aa3,1
Vip3Cb1,1
Mpp64Ba1,1
Cry32Pa,1
Cry43Cc,1
Xpp,1
Cry30Ga,1
Cry4Da,1
Cry79Aa,1
Tpp49Ab1,1
Cry44Aa,1
Cyt2Ba14,1
Cyt2Aa3,1
Cyt2Ba13,1
Vpb4Ba1,1
Tpp78Aa1,1
Mpp2Aa1,1
Cry7Gd,1
Cry7Ka,1
Vip2Ah2,1
Vpb1Ca1,1
Cry21Aa,1
Tpp1Aa5,1
Cry39Aa,1
Cry25Aa,1
Cry12Aa,1
Cry1Ab2,1
Cry1Ab,1
Cry1Ac2,1
Cry1Ab3,1
Cry1Ab,1
Cry5Ad,1
Cry5Ea,1
Cry5Ac,1
Cry1Ca,1
Cry2Ad,1
Cry2Ac,1
Cry4Ba,1
Cry1Ac1,1
Cry48Ab,1
Cry1Ac,1
Cry35Ab,1
Cyt1Ba1,1
Cry22Ab,1
Cry9Ea,1
Cry7Fa,2
Cry10Aa,2
Cry54Ba,2
Cry4Cb,2
Cry8Da,2
Cry2Ab,2
Cry1Ab1,2
Cry5Ab,2
Cry1Ib,2
Cry1Ba,2
Cry53Ab,2
Cry4Ca,2
pesticidal_Crystal,2
Cry7Ab,2
Cry4-Orf2,2
Vip2Ae1,2
Mpp15Aa1,2
Cry30Ba,2
Tpp36Aa1,2
Cry9Ea,2
Cry1Aa1,2
Vip3Bc1,2
Vpb1Ba2,2
Cry32Ha,2
Cry32Ga,2
Cry32Ua,2
Cry32Ra,2
Cry32Aa,2
Cry32Ea,2
Cry1Ba,2
Vpb1Aa3,2
Cry21Ca,2
Mpp3Aa8,2
Sip1A2-other,2
Cry56Aa,2
Cry69Ab,2
Mpp64Ca1,2
Vpb4Da2,2
Tpp,2
Spp,2
Cry7Ca,2
Mpp2Aa5,2
Cry7Gc,2
Cry3Aa,2
Xpp37Aa1,2
Mpp23Aa1,2
Vpb1Da1,2
Vpa2Ab1,2
Vpa2Bb4,2
Cry21Aa,2
Cry5Ab,2
Cry1Aa,2
Cry1Ea,2
Cry5Da,2
Cry1Ac2,2
Cry56Aa,2
Cry22Aa,2
Cry8Ca,3
Cry30Ea,3
Cry43Ba,3
Cry8Ca,3
Cry8,3
Cry19Ba,3
Cry1Aa2,3
Cry4Ba,3
Cry35Ab,3
Cry52Ba,3
Cry1Ac1,3
Vip3Aa4,3
