strain_id	gene_name
20201107LHCTO25	App4Aa1
20180617GYT056	App4Aa1
20180617GYT067	App4Aa1
20180919LJYT161	App4Aa1
20180617GYT056	Bmp1-other
20180617GYT056	Bmp1-other
20180617GYT067	Bmp1-other
20180617GYT067	Bmp1-other
20180617GYT135	Bmp1-other
20180617GYT135	Bmp1-other
20180617GYT135	Bmp1-other
20180617GYT196	Bmp1-other
20180617GYT196	Bmp1-other
20180617GYT196	Bmp1-other
20180807CYYT031	Bmp1-other
20180807CYYT031	Bmp1-other
20180807CYYT031	Bmp1-other
20180807CYYT031	Bmp1-other
20180905LJYT038	Bmp1-other
20180905LJYT038	Bmp1-other
20180905LJYT038	Bmp1-other
20180919LJYT161	Bmp1-other
20180919LJYT161	Bmp1-other
20180919LJYT161	Bmp1-other
20180919LJYT161	Bmp1-other
20181012YXMT041	Bmp1-other
20181012YXMT041	Bmp1-other
20181012YXMT041	Bmp1-other
20181012YXMT043	Bmp1-other
20181012YXMT043	Bmp1-other
20181012YXMT043	Bmp1-other
20190709WXYT001	Bmp1-other
20190709WXYT001	Bmp1-other
20190709WXYT001	Bmp1-other
20190709WXYT001	Bmp1-other
20190709WXYT013	Bmp1-other
20190709WXYT013	Bmp1-other
20190709WXYT013	Bmp1-other
20200927ZJHT004	Bmp1-other
20200927ZJHT004	Bmp1-other
20200927ZJHT004	Bmp1-other
20200927ZJHT004	Bmp1-other
20200928ZHT001	Bmp1-other
20200928ZHT001	Bmp1-other
20200928ZHT001	Bmp1-other
20200928ZHT002	Bmp1-other
20200928ZHT002	Bmp1-other
20200928ZHT002	Bmp1-other
20200928ZHT002	Bmp1-other
20200928ZHT002	Bmp1-other
20200928ZHT003	Bmp1-other
20200928ZHT003	Bmp1-other
20200928ZHT003	Bmp1-other
20200928ZHT003	Bmp1-other
20201001YYCT001	Bmp1-other
20201001YYCT001	Bmp1-other
20201001YYCT001	Bmp1-other
20201001YYCT001	Bmp1-other
20201005WXTT001	Bmp1-other
20201005WXTT001	Bmp1-other
20201005WXTT001	Bmp1-other
20201005WXTT002	Bmp1-other
20201005WXTT002	Bmp1-other
20201005WXTT002	Bmp1-other
20201005WXTT002	Bmp1-other
20201005WXTT009	Bmp1-other
20201005WXTT009	Bmp1-other
20201005WXTT009	Bmp1-other
20201005WXTT009	Bmp1-other
20201005WXTT019	Bmp1-other
20201005WXTT019	Bmp1-other
20201005WXTT019	Bmp1-other
20201005WXTT019	Bmp1-other
20201005WXTT019	Bmp1-other
20201005WXTT019	Bmp1-other
20201005WXTT019	Bmp1-other
20201005WXTT039	Bmp1-other
20201005WXTT039	Bmp1-other
20201005WXTT039	Bmp1-other
20201005WXTT039	Bmp1-other
20201006ZJHT012	Bmp1-other
20201006ZJHT012	Bmp1-other
20201006ZJHT012	Bmp1-other
20201006ZJHT012	Bmp1-other
20201006ZJHT015	Bmp1-other
20201006ZJHT015	Bmp1-other
20201006ZJHT015	Bmp1-other
20201006ZJHT015	Bmp1-other
20201010CSMT006	Bmp1-other
20201010CSMT006	Bmp1-other
20201010CSMT006	Bmp1-other
20201010CSMT006	Bmp1-other
20201010CSMT006	Bmp1-other
20201010CSMT006	Bmp1-other
20201010CSMT006	Bmp1-other
20201010CSMT006	Bmp1-other
20201010CSMT006	Bmp1-other
20201010CSMT006	Bmp1-other
20201010CSMT010	Bmp1-other
20201010CSMT010	Bmp1-other
20201010CSMT010	Bmp1-other
20201010CSMT010	Bmp1-other
20201010CSMT012	Bmp1-other
20201010CSMT012	Bmp1-other
20201010CSMT012	Bmp1-other
20201011WFFT002	Bmp1-other
20201011WFFT002	Bmp1-other
20201011WFFT002	Bmp1-other
20201011WFFT002	Bmp1-other
20201011ZZHT003	Bmp1-other
20201011ZZHT003	Bmp1-other
20201011ZZHT003	Bmp1-other
20190709WXYT019	Bmp1-other
20190709WXYT019	Bmp1-other
20190709WXYT019	Bmp1-other
20190709WXYT026	Bmp1-other
20190709WXYT026	Bmp1-other
20190709WXYT026	Bmp1-other
20190709WXYT026	Bmp1-other
20190709WXYT026	Bmp1-other
20190709WXYT026	Bmp1-other
20190709WXYT026	Bmp1-other
20190709WXYT027	Bmp1-other
20190709WXYT027	Bmp1-other
20190709WXYT027	Bmp1-other
20190709WXYT027	Bmp1-other
