strain	toxin
SCACL145	Cry70Aa1
SCACL145	Vpb4Aa1
SCACL145	Cry13Aa2
SCACL145	Cry21Ca2
SCACL145	Cry13Aa2
SCACL145	Cry21Ga1
SCACL145	Cry12Aa1
SCACL145	Cry13Aa2
SCAGYS32	Mpp46Ab1
SCAGYS33	Mpp46Ab1
SCAGYS34	Mpp46Ab1
SCAWS209	Mpp46Ab1
SCAWS210	Mpp46Ab1
SCAWS211	Mpp46Ab1
SCAWS212	Mpp46Ab1
SCAWS213	Mpp46Ab1
SCAWS218	Mpp46Ab1
SCAWS219	Mpp46Ab1
SCAXCS62	Mpp46Ab1
SCAZJ175	Cry70Aa1
SCAZJ175	Vpb4Aa1
SCAZJ175	Cry13Aa2
SCAZJ175	Cry21Ca2
SCAZJ175	Cry13Aa2
SCAZJ175	Cry21Ga1
SCAZJ175	Cry12Aa1
SCAZJ175	Cry13Aa2
SCAZJ202	Mpp46Ab1
RJT164	Vpb4Ca1
RJT164	Tpp1Aa5
RJT164	Vpb4Aa2
20150417LHMT133	Cry14Ab1
20150417LHMT133	Cry21Ca2
20150417LHMT133	Xpp77Aa1
20150417LHMT133	Mpp3Aa6
20150417LHMT133	Xpp77Aa1
SCACH91	Cry70Aa1
SCACH91	Vpb4Aa1
SCACH91	Cry13Aa2
SCACH91	Cry21Ca2
SCACH91	Cry13Aa2
SCACH91	Cry21Ga1
SCACH91	Cry12Aa1
SCACH91	Cry13Aa2
SCALT200	Cry14Ab1
SCALT200	Cry21Ca2
SCALT200	Xpp77Aa1
SCALT200	Xpp77Aa1
SCALT200	Mpp3Aa6
20150621XYBT023	Mpp46Ab1
20150621XYBT023	Vpb4Ca1
20150621XYBT023	Vpb4Ca1
20150622XYBP002	Vpb4Ca1
20150622XYBP002	Vpb4Aa2
20150622XYBP002	Vpb4Ca1
20150622XYBP003	Vpb4Ca1
20150622XYBP003	Vpb4Aa2
20150622XYBP003	Vpb4Ca1
20150622XYBT028	Vpb4Ca1
20150622XYBT028	Tpp80Ab1
20150622XYBT029	Vpb4Ca1
20150622XYBT029	Vpb4Aa2
20150622XYBT029	Vpb4Ca1
20150622XYBT030	Vpb4Ca1
20150622XYBT030	Vpb4Aa2
20150622XYBT030	Vpb4Ca1
20150622XYBT038	Vpb4Ca1
20150622XYBT038	Vpb4Aa2
20150622XYBT038	Vpb4Ca1
20150622XYBT040	Vpb4Ca1
20150622XYBT040	Vpb4Aa2
20150622XYBT040	Vpb4Ca1
20150711ZHBT047	Vpb4Ca1
20150711ZHBT047	Vpb4Ca1
20150711ZHBT059	Vpb4Ca1
20150711ZHBT059	Vpb4Ca1
20150715GYST069	Cry1Ia44
20150715GYST069	Cry2Aa9
20150715GYST069	Cry1Aa6
20150715GYST069	Cry1Ac9
20150715GYST069	Cry1Aa18
20150715GYST069	Cry1Ac5
20150715GYST069	Mpp46Ab1
20150715GYST069	Vpb4Ca1
20150715GYST069	Vip3Aa7
20150715GYST069	Cry2Ab35
20150715ZHBT062	Vpb4Ca1
20150715ZHBT070	Vpb4Ca1
20150715ZHBT070	Vpb4Aa2
20150715ZHBT070	Vpb4Ca1
20150715ZHBT073	Cry1Ia44
20150715ZHBT073	Cry9Ea9
20150715ZHBT073	Cry1Ac9
20150715ZHBT073	Cry1Aa18
20150715ZHBT073	Cry1Ac5
20150715ZHBT073	Cry1Aa6
20150715ZHBT073	Cry1Da2
20150715ZHBT073	Cry1Ca9
20150715ZHBT073	Vip3Bc1
20150715ZHBT073	Tpp78Ba1
20150715ZHBT073	Vip3Aa7
20150715ZHBT073	Cry2Ab35
20150724YYYT002	Vpa2Aa3
20150724YYYT002	Vpb4Ca1
20150724YYYT002	Tpp78Aa1
20150724YYYT002	Vpb4Ca1
20150724YYYT002	Cry62Aa1
20150724YYYT002	Cry32Ha2
20150724YYYT002	Cry62Aa1
20150724YYYT002	Cry41Ab1
20150724YYYT002	Vpb4Ca1
20150724YYYT002	Vpb4Ca1
20150724YYYT002	Vpb4Ca1
20150724YYYT002	Cry62Aa1
20150724YYYT002	Cry62Aa1
20150724YYYT002	Cry62Aa1
20150724YYYT002	Cry32Ta1
20150724YYYT002	Vpb4Ca1
20150724YYYT002	Cry32Hb2
20150724YYYT002	Mpp74Aa1
20150724YYYT002	Mpp45Aa1
20150724YYYT002	Cry32Eb1
20150724YYYT002	Cry73Aa1
20150724YYYT002	Mpp75Aa3
20150724YYYT002	Vpb4Ca1
20150724YYYT002	Cry32Qa1
20150724YYYT002	Cry32Ra1
20150724YYYT002	Cry32Hb2
20150724YYYT004	Cry62Aa1
20150724YYYT004	Cry41Aa1
20150724YYYT004	Cry32Eb1
20150724YYYT004	Mpp82Aa1
20150724YYYT004	Mpp75Aa3
20150724YYYT004	Mpp45Aa1
20150724YYYT004	Mpp82Aa1
20150724YYYT004	Cry32Eb1
20150724YYYT004	Cry41Ab1
20150724YYYT004	Cry43Cc1
20150724YYYT004	Vpb4Ca1
20150724YYYT004	Tpp80Ab1
20150724YYYT004	Tpp80Ab1
20150724YYYT004	Cry42Aa1
20150724YYYT004	Cry32Hb2
20150724YYYT004	Cry32Qa1
20150724YYYT004	Cry32Hb2
20150724YYYT004	Cry32Ha2
20150724YYYT004	Mpp45Aa1
20150724YYYT004	Mpp74Aa1
20150724YYYT004	Vpb4Ca1
20150724YYYT004	Cry41Ba2
20150724YYYT004	Mpp3Aa1
20150724YYYT004	Cry62Aa1
20150724YYYT004	Vpb4Ca1
20150724YYYT004	Vpb4Ca1
20150724YYYT004	Vpb4Ca1
20150724YYYT004	Cry32Ka1
20150724YYYT004	Vpb4Ca1
20150726YYYT008	Mpp46Ab1
20150726YYYT008	Cry73Aa1
20150726YYYT008	Tpp78Ba1
20150729YYYT21	Tpp80Ab1
20150731YYYP18	Vpb4Ca1
20150731YYYP18	Vpb4Ca1
20150802YYYP30	Cyt2Aa3
20150802YYYP30	Cyt2Ca1
20150802YYYP30	Cyt2Bc1
20150802YYYP30	Cyt2Aa4
20150802YYYT91	Vpb1Ab1
20150804YYYP041	Cry73Aa1
20150804YYYP041	Mpp46Ab1
20150804YYYP041	Tpp78Ba1
