gene	diplotype	lookupkey	drug	drugid	suggest	advice	ref_guide	sample	gatkscore	depth	readsratio	cHGVS	pHGVS	zyg	rsID	location	effect	guide
ABCG2	rs2231142 reference (G)/rs2231142 reference (G)	Normal Function	allopurinol	PA448320	"<p>The guideline does not provide a recommendation for allopurinol in patients with the the ABCG2 rs2231142 GG genotype (c.421CC; p.141QQ)</p>
"	The guideline does not provide a description of the impact of the ABCG2 rs2231142 GG genotype (c.421CC; p.141QQ) on allopurinol.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Function
CACNA1S	Reference/Reference	Uncertain Susceptibility																
CYP2B6	*1/*1	Normal Metabolizer	efavirenz	PA449441	"<p>Initiate efavirenz with standard dosing (600 mg/day)</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>The ENCORE study showed that in treatment-naïve patients randomized to initiate efavirenz-based regimens (combined with tenofovir and emtricitabine), 400 mg/day was non-inferior to 600 mg/day regardless of CYP2B6 genotype (PMID 24522178).</p>
"	CYP2B6: Normal efavirenz metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2B6	*1/*1	Normal Metabolizer	efavirenz	PA449441	"<p>The guideline does not provide a recommendation for efavirenz in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on efavirenz.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	escitalopram	PA10074	"<p>Initiate therapy with recommended starting dose</p>
"	CYP2C19: Normal metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	citalopram	PA449015	"<p>Initiate therapy with recommended starting dose</p>
"	CYP2C19: Normal metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	clopidogrel	PA449053	"<p>If considering clopidogrel, use at standard dose (75 mg/day)</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>For cardiovascular indications of acute coronary syndrome (ACS) and/or percutaneous coronary intervention (PCI). ACS and/or PCI includes patients undergoing PCI for an ACS or non-ACS (elective) indication.</p>
"	CYP2C19: Normal clopidogrel active metabolite formation; normal on-treatment platelet reactivity	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	clopidogrel	PA449053	"<p>If considering clopidogrel, use at standard dose (75 mg/day)</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>For non-acute coronary syndrome (non-ACS) and non-percutaneous coronary intervention (non-PCI) cardiovascular indications. Non-ACS, non-PCI cardiovascular indications include peripheral arterial disease and stable coronary artery disease following a recent myocardial infarction outside the setting of PCI.</p>
"	CYP2C19: Normal clopidogrel active metabolite formation; normal on-treatment platelet reactivity	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	clopidogrel	PA449053	"<p>If considering clopidogrel, use at standard dose (75 mg/day)</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>For neurovascular indications. Neurovascular disease includes acute ischemic stroke or transient ischemic attack, secondary prevention of stroke, or prevention of thromboembolic events following neurointerventional procedures such as carotid artery stenting and stent-assisted coiling of intracranial aneurysms.</p>
"	CYP2C19: Normal clopidogrel active metabolite formation; normal on-treatment platelet reactivity	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	dexlansoprazole	PA166110257	"<p>Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses.
Monitor for efficacy.</p>
"	CYP2C19: Normal PPI metabolism; may be at increased risk of therapeutic failure compared to CYP2C19 IMs and PMs	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	omeprazole	PA450704	"<p>Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses.
Monitor for efficacy.</p>
"	CYP2C19: Normal PPI metabolism; may be at increased risk of therapeutic failure compared to CYP2C19 IMs and PMs	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	pantoprazole	PA450774	"<p>Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses.
Monitor for efficacy.</p>
"	CYP2C19: Normal PPI metabolism; may be at increased risk of therapeutic failure compared to CYP2C19 IMs and PMs	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	lansoprazole	PA450180	"<p>Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses.
Monitor for efficacy.</p>
"	CYP2C19: Normal PPI metabolism; may be at increased risk of therapeutic failure compared to CYP2C19 IMs and PMs	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	voriconazole	PA10233	"<p>Initiate therapy with recommended standard of care dosing</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Further dose adjustments or selection of alternative therapy may be necessary due to other clinical factors, such as drug interactions, hepatic function, renal function, species, site of infection, therapeutic drug monitoring, and comorbidities.</p>
"	CYP2C19: Normal voriconazole metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	voriconazole	PA10233	"<p>Initiate therapy with recommended standard of care dosing</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Further dose adjustments or selection of alternative therapy may be necessary due to other clinical factors, such as drug interactions, hepatic function, renal function, species, site of infection, therapeutic drug monitoring, and comorbidities.</p>
"	CYP2C19: Normal voriconazole metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	citalopram	PA449015	"<p>The guideline does not provide a recommendation for citalopram in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on citalopram.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	clomipramine	PA449048	"<p>The guideline does not provide a recommendation for clomipramine in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on clomipramine.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	clopidogrel	PA449053	"<p>The guideline does not provide a recommendation for clopidogrel in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on clopidogrel.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	escitalopram	PA10074	"<p>The guideline does not provide a recommendation for escitalopram in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on escitalopram.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	imipramine	PA449969	"<p>The guideline does not provide a recommendation for imipramine in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on imipramine.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	lansoprazole	PA450180	"<p>The guideline does not provide a recommendation for lansoprazole in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on lansoprazole.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	omeprazole	PA450704	"<p>The guideline does not provide a recommendation for omeprazole in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on omeprazole.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	pantoprazole	PA450774	"<p>The guideline does not provide a recommendation for pantoprazole in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on pantoprazole.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	sertraline	PA451333	"<p>The guideline does not provide a recommendation for sertraline in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on sertraline.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C19	*1/*1	Normal Metabolizer	voriconazole	PA10233	"<p>The guideline does not provide a recommendation for voriconazole in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on voriconazole.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
CYP2C9	*1/*1	2.0	flurbiprofen	PA449683	"<p>Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.</p>
"	CYP2C9: Normal metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2C9	*1/*1	2.0	ibuprofen	PA449957	"<p>Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.</p>
"	CYP2C9: Normal metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2C9	*1/*1	2.0	lornoxicam	PA165958395	"<p>Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.</p>
"	CYP2C9: Normal metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2C9	*1/*1	2.0	celecoxib	PA448871	"<p>Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.</p>
"	CYP2C9: Normal metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
CYP2C9	*1/*1	2.0	meloxicam	PA450353	"<p>Initiate therapy with recommended starting dose. In accordance with the prescribing information, use the lowest effective dosage for shortest duration consistent with individual patient treatment goals.</p>
"	CYP2C9: Normal metabolism	CPIC	.	.	.	.	.	.	.	.	.	.	2.0
