Entity ID,SampleID,FASTQ1,FASTQ2,ref_dir,OutputSortMarkdupBam
ERR1955323,ERR1955323,"/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955323_1.fastq.gz","/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955323_2.fastq.gz",/Files/sz_history/zhenghaihui/lush,false
ERR1955324,ERR1955324,"/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955324_1.fastq.gz","/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955324_2.fastq.gz",/Files/sz_history/zhenghaihui/lush,false
ERR1955325,ERR1955325,"/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955325_1.fastq.gz","/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955325_2.fastq.gz",/Files/sz_history/zhenghaihui/lush,false
ERR1955326,ERR1955326,"/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955326_1.fastq.gz","/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955326_2.fastq.gz",/Files/sz_history/zhenghaihui/lush,false
ERR1955327,ERR1955327,"/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955327_1.fastq.gz","/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955327_2.fastq.gz",/Files/sz_history/zhenghaihui/lush,false
ERR1955328,ERR1955328,"/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955328_1.fastq.gz","/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955328_2.fastq.gz",/Files/sz_history/zhenghaihui/lush,false
ERR1955329,ERR1955329,"/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955329_1.fastq.gz","/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955329_2.fastq.gz",/Files/sz_history/zhenghaihui/lush,false
ERR1955330,ERR1955330,"/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955330_1.fastq.gz","/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955330_2.fastq.gz",/Files/sz_history/zhenghaihui/lush,false
ERR1955331,ERR1955331,"/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955331_1.fastq.gz","/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955331_2.fastq.gz",/Files/sz_history/zhenghaihui/lush,false
ERR1955332,ERR1955332,"/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955332_1.fastq.gz","/Files/ResultData/Notebook/NB2025062915234244639928/ERR1955332_2.fastq.gz",/Files/sz_history/zhenghaihui/lush,false
