英文名称	中文名称
Ascorbicacid(vitaminC),plain	维生素C（抗坏血酸）单方制剂
abrocitinib	阿布昔替尼
acenocoumarol	醋硝香豆素
allopurinol	别嘌醇
amitriptyline	阿米替林
amoxapine	阿莫沙平
aripiprazole	阿立哌唑
aripiprazolelauroxil	月桂酰阿立哌唑
atazanavir	阿扎那韦
atomoxetine	托莫西汀
atorvastatin	阿托伐他汀
avatrombopag	阿伐曲泊帕
azathioprine	硫唑嘌呤
belinostat	贝利司他
belzutifan	贝组替凡
brexpiprazole	布瑞哌唑
brivaracetam	布瓦西坦
bupivacaine	布比卡因
capecitabine	卡培他滨
carisoprodol	卡立普多
carvedilol	卡维地洛
celecoxib	塞来昔布
cevimeline	西维美林
chloroquine	氯喹
chlorpropamide	氯磺丙脲
citalopram	西酞普兰
clobazam	氯巴占
clomipramine	氯米帕明
clopidogrel	氯吡格雷
clozapine	氯氮平
codeine	可待因
dabrafenib	达拉非尼
dapsone	氨苯砜
darifenacin	达非那新
desflurane	地氟烷
desipramine	地昔帕明
deutetrabenazine	氘丁苯那嗪
dexlansoprazole	右兰索拉唑
diazepam	地西泮
dolutegravir	多替拉韦
donepezil	多奈哌齐
doxepin	多塞平
efavirenz	依非韦伦
elagolix	艾拉戈利
eliglustat	依利格鲁司
enflurane	恩氟烷
erdafitinib	厄达替尼
escitalopram	艾司西酞普兰
esomeprazole	艾司奥美拉唑
fesoterodine	非索罗定
flecainide	氟卡尼
flibanserin	氟班色林
flucytosine	氟胞嘧啶
fluorouracil	氟尿嘧啶
fluoxetine	氟西汀
flurbiprofen	氟比洛芬
flutamide	氟他胺
fluvastatin	氟伐他汀
fluvoxamine	氟伏沙明
fosphenytoin	磷苯妥英
galantamine	加兰他敏
gefitinib	吉非替尼
glimepiride	格列美脲
glipizide	格列吡嗪
glyburide	格列本脲
haloperidol	氟哌啶醇
halothane	氟烷
hydroxychloroquine	羟氯喹
ibuprofen	布洛芬
iloperidone	伊潘立酮
imipramine	丙米嗪
irinotecan	伊立替康
isoflurane	异氟烷
ivacaftor	依伐卡托
lansoprazole	兰索拉唑
lofexidine	洛非西定
lornoxicam	氯诺昔康
lovastatin	洛伐他汀
mavacamten	玛伐凯泰
meclizine	美克洛嗪
meloxicam	美洛昔康
mepivacaine	甲哌卡因
mercaptopurine	巯嘌呤
methoxyflurane	甲氧氟烷
methyleneblue	亚甲蓝
metoclopramide	甲氧氯普胺
metoprolol	美托洛尔
mirabegron	米拉贝隆
moviprep	复方聚乙二醇电解质
nalidixicacid	萘啶酸
nateglinide	那格列奈
nebivolol	奈必洛尔
nilotinib	尼洛替尼
nitrofurantoin	呋喃妥因
nortriptyline	去甲替林
omeprazole	奥美拉唑
ondansetron	昂丹司琼
oxymetazolineandtetracaine	羟甲唑啉和丁卡因
pantoprazole	泮托拉唑
paroxetine	帕罗西汀
pazopanib	帕唑帕尼
peginterferonalfa-2a	聚乙二醇干扰素α-2a
peginterferonalfa-2b	聚乙二醇干扰素α-2b
pegloticase	聚乙二醇化尿酸酶
perphenazine	奋乃静
phenprocoumon	苯丙香豆素
phenytoin	苯妥英
pimozide	匹莫齐特
piroxicam	吡罗昔康
pitavastatin	匹伐他汀
pitolisant	替洛利生
pravastatin	普伐他汀
primaquine	伯氨喹
propafenone	普罗帕酮
propranolol	普萘洛尔
protriptyline	普罗替林
quetiapine	喹硫平
rabeprazole	雷贝拉唑
raltegravir	拉替拉韦
rasburicase	拉布立酶
ribavirin	利巴韦林
risperidone	利培酮
rosuvastatin	瑞舒伐他汀
sacituzumabgovitecan	戈沙妥珠单抗
sertraline	舍曲林
sevoflurane	七氟烷
simvastatin	辛伐他汀
siponimod	西尼莫德
sodiumascorbate	抗坏血酸钠
sodiumnitrite	亚硝酸钠
succinylcholine	琥珀胆碱
sulfasalazine	柳氮磺吡啶
tacrolimus	他克莫司
tafenoquine	他非诺喹
tamoxifen	他莫昔芬
tamsulosin	坦索罗辛
tegafur	替加氟
tenoxicam	替诺昔康
tetrabenazine	丁苯那嗪
thioguanine	硫鸟嘌呤
thioridazine	硫利达嗪
tolazamide	妥拉磺脲
tolbutamide	甲苯磺丁脲
tolterodine	托特罗定
toluidineblue	甲苯胺蓝
tramadol	曲马多
trimipramine	曲米帕明
tropisetron	托烷司琼
valbenazine	缬苯那嗪
venlafaxine	文拉法辛
viloxazine	维洛沙嗪
voriconazole	伏立康唑
vortioxetine	伏硫西汀
warfarin	华法林
zuclopenthixol	珠氯噻醇
sacituzumab govitecan	戈沙妥珠单抗
dibekacin	地贝卡星
gentamicin	庆大霉素
aripiprazole lauroxil	阿立哌唑月桂酰氧基甲酯
plazomicin	普拉佐米星
flucloxacillin	氟氯西林
lesinurad	雷西纳德
paromomycin	巴龙霉素
oliceridine	奥利替啶
streptomycin	链霉素
dronabinol	屈大麻酚
lamotrigine	拉莫三嗪
amphetamine	苯丙胺
peginterferon alfa-2b	聚乙二醇干扰素α-2b
kanamycin	卡那霉素
toluidine blue	甲苯胺蓝
oxcarbazepine	奥卡西平
sodium nitrite	亚硝酸钠
Ascorbic acid (vitamin C), combinations	维生素C复方制剂
methylene blue	亚甲蓝
amikacin	阿米卡星
ribostamycin	核糖霉素
nalidixic acid	萘啶酸
netilmicin	奈替米星
tobramycin	妥布霉素
sodium ascorbate	抗坏血酸钠
Ascorbic acid (vitamin C), plain	维生素C单方制剂
hydrocodone	氢可酮
carbamazepine	卡马西平
neomycin	新霉素
peginterferon alfa-2a	聚乙二醇干扰素α-2a
abacavir	阿巴卡韦
