Guideline Name,Name,Related Chemicals,Text,Implications,Lookup Key
Annotation of CPIC Guideline for abacavir and HLA-B,Recommendation PA166296758,abacavir,"<p>Use abacavir per standard dosing guidelines</p>
",HLA-B: Low or reduced risk of abacavir hypersensitivity,HLA-B=*57:01 negative
Annotation of CPIC Guideline for abacavir and HLA-B,Recommendation PA166296759,abacavir,"<p>Abacavir is not recommended</p>
",HLA-B: Significantly increased risk of abacavir hypersensitivity,HLA-B=*57:01 positive
Annotation of CPIC Guideline for allopurinol and HLA-B,Recommendation PA166296961,allopurinol,"<p>Allopurinol is contraindicated</p>
",HLA-B: Significantly increased risk of allopurinol-induced SCAR,HLA-B=*58:01 positive
Annotation of CPIC Guideline for allopurinol and HLA-B,Recommendation PA166296760,allopurinol,"<p>Use allopurinol per standard dosing guidelines</p>
",HLA-B: Low or reduced risk of allopurinol-induced SCAR,HLA-B=*58:01 negative
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296970,kanamycin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=uncertain risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296974,plazomicin,"<p>Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).</p>
",MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=increased risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296965,gentamicin,"<p>Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).</p>
",MT-RNR1: Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=increased risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296978,streptomycin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=normal risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296969,kanamycin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=normal risk of aminoglycoside-induced hearing loss
"Annotation of CPIC Guideline for amikacin, dibekacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, plazomicin, ribostamycin, streptomycin, tobramycin and MT-RNR1",Recommendation PA166296982,tobramycin,"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
",MT-RNR1: Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.,MT-RNR1=uncertain risk of aminoglycoside-induced hearing loss
