variant_id	variant_name	chemical_id	chemical_name
PA166182337	rs61816456	PA448320	allopurinol
PA166154506	rs880054	PA449899	hydrochlorothiazide
PA166181745	rs559628884	PA450373	mephenytoin
PA166181745	rs559628884	PA450401	methadone
PA166181745	rs559628884	PA450704	omeprazole
PA166184876	rs6848893	PA450741	oxycodone
PA166218661	rs351776	PA448685	buprenorphine
PA166218661	rs351776	PA450401	methadone
PA166156558	rs2433320	PA449673	fluoxetine
PA166156025	rs4818	PA451201	quetiapine
PA166156025	rs4818	PA451257	risperidone
PA166156025	rs4818	PA452618	opioids
PA166154626	rs11045585	PA449383	docetaxel
PA166161516	rs2228014	PA130232992	bevacizumab
PA166161153	rs651630	PA164713366	Tumor necrosis factor alpha (TNF-alpha) inhibitors
PA166176039	rs367398	PA448320	allopurinol
PA166157485	rs28401781	PA449015	citalopram
PA166157485	rs28401781	PA449673	fluoxetine
PA166157485	rs28401781	PA450801	paroxetine
PA166157485	rs28401781	PA451333	sertraline
PA166154874	rs2069514	PA448015	acetaminophen
PA166154874	rs2069514	PA448710	caffeine
PA166154874	rs2069514	PA452233	antipsychotics
PA166154874	rs2069514	PA452618	opioids
PA166154984	rs119774	PA450546	montelukast
PA166156722	rs265976	PA449061	clozapine
PA166153617	rs1061170	PA130232992	bevacizumab
PA166153617	rs1061170	PA164746012	ranibizumab
PA166153617	rs1061170	PA165984462	Photodynamic therapy
PA166179108	rs780668	PA449748	gemcitabine
PA166156912	rs200148	PA448388	amlodipine
PA166156912	rs200148	PA448970	chlorthalidone
PA166156912	rs200148	PA450242	lisinopril
PA166177970	rs1260326	PA448073	ethanol
PA166262006	rs138978736	PA450626	nicotine
PA166259922	rs11782370	PA448685	buprenorphine
PA166235764	rs7597593	PA452618	opioids
PA166156406	rs6438552	PA450243	lithium
PA166155645	rs1801262	PA451234	repaglinide
PA166163749	rs12119882	PA448771	capecitabine
PA166157948	NAT2 slow acetylator	PA164712708	Drugs For Treatment Of Tuberculosis
PA166157948	NAT2 slow acetylator	PA450112	isoniazid
PA166157948	NAT2 slow acetylator	PA451547	sulfasalazine
PA166157216	rs72552763	PA10390	sulfonamides, urea derivatives
PA166157216	rs72552763	PA450379	mercaptopurine
PA166157216	rs72552763	PA450395	metformin
PA166157216	rs72552763	PA450550	morphine
PA166157216	rs72552763	PA451124	proguanil
PA166157216	rs72552763	PA451224	ranitidine
PA166157218	rs73748206	PA449748	gemcitabine
PA166155344	rs14158	PA164749390	peginterferon alfa-2a
PA166155344	rs14158	PA164784024	peginterferon alfa-2b
PA166155344	rs14158	PA451241	ribavirin
PA166161442	rs35112940	PA164749431	gemtuzumab ozogamicin
PA166170232	rs200707504	PA166321761	remimazolam
PA166170232	rs200707504	PA450721	oseltamivir
PA166171046	rs3919583	PA450243	lithium
PA166157645	rs13266634	PA164744571	insulin recombinant
PA166157645	rs13266634	PA451234	repaglinide
PA166157645	rs13266634	PA451961	zinc acetate
PA166177789	rs553202	PA166114414	cotinine
PA166177789	rs553202	PA448073	ethanol
PA166177789	rs553202	PA450626	nicotine
PA166178403	rs148235907	PA128406956	fluorouracil
PA166178403	rs148235907	PA449165	cyclophosphamide
PA166178403	rs148235907	PA449476	epirubicin
PA166195565	rs9384825	PA166131379	o-desmethyltramadol
PA166195565	rs9384825	PA451735	tramadol
PA166181040	rs701829	PA449211	dapsone
PA166153649	rs1801266	PA128406956	fluorouracil
PA166153649	rs1801266	PA448771	capecitabine
PA166153649	rs1801266	PA452620	tegafur
PA166157560	rs1495741	PA164712708	Drugs For Treatment Of Tuberculosis
PA166153648	rs1801265	PA128406956	fluorouracil
PA166153648	rs1801265	PA448771	capecitabine
PA166154607	rs7973796	PA450688	olanzapine
PA166156827	rs4431329	PA449899	hydrochlorothiazide
PA166319904	rs199646142	PA128406956	fluorouracil
PA166199006	rs8068318	PA448499	atenolol
PA166153837	rs12022243	PA448771	capecitabine
PA166157809	rs10739150	PA448499	atenolol
PA166155965	rs10485828	PA448432	anastrozole
PA166155965	rs10485828	PA449563	exemestane
PA166155256	rs16960228	PA449899	hydrochlorothiazide
PA166156476	rs698	PA449014	cisplatin
